item,itemLabel,country_of_citizenshipLabel,linkcount,date_of_birth,place_of_birth,place_of_birthLabel,field_of_workLabel,date_of_death
http://www.wikidata.org/entity/Q438248,Marisol Escobar,United States of America,18,1930-05-22T00:00:00Z,http://www.wikidata.org/entity/Q90,Paris,,2016-04-30T00:00:00Z
http://www.wikidata.org/entity/Q437123,Shelley Jackson,United States of America,7,1963-01-01T00:00:00Z,http://www.wikidata.org/entity/Q928,Philippines,,
http://www.wikidata.org/entity/Q433566,Eva Watson-Schütze,United States of America,6,1867-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26339,Jersey City,,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q437443,Alicia Rhett,United States of America,24,1915-02-01T00:00:00Z,http://www.wikidata.org/entity/Q83813,Savannah,,2014-01-03T00:00:00Z
http://www.wikidata.org/entity/Q431705,Lilla Cabot Perry,United States of America,15,1848-01-13T00:00:00Z,http://www.wikidata.org/entity/Q100,Boston,poetry,1933-02-28T00:00:00Z
http://www.wikidata.org/entity/Q437729,Cady Noland,United States of America,5,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",,
http://www.wikidata.org/entity/Q435791,Betty Parsons,United States of America,8,1900-01-31T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,1982-07-23T00:00:00Z
http://www.wikidata.org/entity/Q438248,Marisol Escobar,Venezuela,18,1930-05-22T00:00:00Z,http://www.wikidata.org/entity/Q90,Paris,,2016-04-30T00:00:00Z
http://www.wikidata.org/entity/Q434365,Anna Elizabeth Klumpke,United States of America,12,1856-10-28T00:00:00Z,http://www.wikidata.org/entity/Q62,San Francisco,,1942-02-09T00:00:00Z
http://www.wikidata.org/entity/Q434943,Kathleen Brennan,United States of America,10,1950-03-02T00:00:00Z,http://www.wikidata.org/entity/Q1819972,Johnsburg,,
http://www.wikidata.org/entity/Q439920,Suze Rotolo,United States of America,10,1943-11-20T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,2011-02-24T00:00:00Z
http://www.wikidata.org/entity/Q439920,Suze Rotolo,United States of America,10,1943-11-20T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,2011-02-25T00:00:00Z
http://www.wikidata.org/entity/Q437143,Alice Pike Barney,United States of America,16,1857-01-14T00:00:00Z,http://www.wikidata.org/entity/Q43196,Cincinnati,,1931-07-16T00:00:00Z
http://www.wikidata.org/entity/Q436874,Hedda Sterne,United States of America,8,1910-08-04T00:00:00Z,http://www.wikidata.org/entity/Q19660,Bucharest,,2011-04-08T00:00:00Z
http://www.wikidata.org/entity/Q432921,Jennifer Ketcham,United States of America,19,1983-02-22T00:00:00Z,http://www.wikidata.org/entity/Q49246,Aurora,,
http://www.wikidata.org/entity/Q436782,Susan Rothenberg,United States of America,8,1945-01-20T00:00:00Z,http://www.wikidata.org/entity/Q40435,Buffalo,art of painting,
