Name,,List
Ágnes Keleti,Ágnes Keleti,List of sportswomen
Élise Bussaglia,Élise Bussaglia,List of FIFA Women's World Cup goalscorers
Élodie Ouédraogo,Élodie Ouédraogo,List of Olympic medalists in athletics (women)
Élodie Thomis,Élodie Thomis,List of FIFA Women's World Cup goalscorers
Ángela Salvadores,Ángela Salvadores,List of Women's National Basketball Association players
Érika,Érika,List of FIFA Women's World Cup goalscorers
Éva Székely,Éva Székely,List of sportswomen
Åsa Gottmo,Åsa Gottmo,List of female golfers
Šárka Kašpárková,Šárka Kašpárková,List of Olympic medalists in athletics (women)
A'dia Mathies,,List of Olympic medalists in athletics (women)
Aaryn Ellenberg,Aaryn Ellenberg,List of Women's National Basketball Association players
Abby Bishop,Abby Bishop,List of Women's National Basketball Association players
Abby Wambach,Abby Wambach,List of FIFA Women's World Cup goalscorers
Abeba Aregawi,Abeba Aregawi,List of Olympic medalists in athletics (women)
Abi Olajuwon,Abi Olajuwon,List of Women's National Basketball Association players
Ada Hegerberg,Ada Hegerberg,List of FIFA Women's World Cup goalscorers
Adaku Okoroafor,Adaku Okoroafor,List of FIFA Women's World Cup goalscorers
Adele Marsiletti,Adele Marsiletti,List of FIFA Women's World Cup goalscorers
Adia Barnes,Adia Barnes,List of Women's National Basketball Association players
Aditi Ashok,Aditi Ashok,List of female golfers
Adjoa Bayor,Adjoa Bayor,List of FIFA Women's World Cup goalscorers
Adrian Williams-Strong,Adrian Williams-Strong,List of Women's National Basketball Association players
Adriana Moises,Adriana Moises,List of Women's National Basketball Association players
Adrienne Goodson,Adrienne Goodson,List of Women's National Basketball Association players
Adrienne Johnson (basketball),Adrienne Johnson (basketball),List of Women's National Basketball Association players
Adrienne Ross,Adrienne Ross,List of Women's National Basketball Association players
Adrienne Shuler,Adrienne Shuler,List of Women's National Basketball Association players
Adut Bulgak,Adut Bulgak,List of Women's National Basketball Association players
Aerial Powers,Aerial Powers,List of Women's National Basketball Association players
Agnes Osazuwa,Agnes Osazuwa,List of Olympic medalists in athletics (women)
Agnete Carlsen,Agnete Carlsen,List of FIFA Women's World Cup goalscorers
Agnieszka Bibrzycka,Agnieszka Bibrzycka,List of Women's National Basketball Association players
Agnieszka Radwańska,Agnieszka Radwańska,List of sportswomen
Ai Miyazato,Ai Miyazato,List of female golfers
Ai-Yu Tu,Ai-Yu Tu,List of female golfers
Aileen Meagher,Aileen Meagher,List of Olympic medalists in athletics (women)
Aiysha Smith,Aiysha Smith,List of Women's National Basketball Association players
Ajara Nchout,Ajara Nchout,List of FIFA Women's World Cup goalscorers
Akemi Noda,Akemi Noda,List of FIFA Women's World Cup goalscorers
Akiko Fukushima,Akiko Fukushima,List of female golfers
Alana Beard,Alana Beard,List of Women's National Basketball Association players
Alanna Smith,Alanna Smith,List of Women's National Basketball Association players
Albena Branzova,Albena Branzova,List of Women's National Basketball Association players
Albena Cup,Albena Cup,List of FIFA Women's World Cup goalscorers
Alberta Sackey,Alberta Sackey,List of FIFA Women's World Cup goalscorers
Aleen Bailey,Aleen Bailey,List of Olympic medalists in athletics (women)
Aleisha Cline,Aleisha Cline,List of sportswomen
Alejandra Llaneza,Alejandra Llaneza,List of female golfers
Aleksandra Chudina,Aleksandra Chudina,List of Olympic medalists in athletics (women)
Alena Sharp,Alena Sharp,List of female golfers
Alena Zavarzina,Alena Zavarzina,List of sportswomen
Alessandra Santos de Oliveira,Alessandra Santos de Oliveira,List of Women's National Basketball Association players
Alex Bentley,Alex Bentley,List of Women's National Basketball Association players
Alex Greenwood,Alex Greenwood,List of FIFA Women's World Cup goalscorers
Alex Harden,Alex Harden,List of Women's National Basketball Association players
