Destination,Source
Álida Arizmendi Corales,List of female lieutenant governors in the United States
A. Peter Crane,List of female United States presidential and vice-presidential candidates
Abby Finkenauer,List of female governors in the United States
Abigail Scott Duniway,List of female United States presidential and vice-presidential candidates
Abigail Spanberger,List of female governors in the United States
Adlene Harrison,List of female speakers of legislatures in the United States
Agnes Geelan,List of female speakers of legislatures in the United States
Agnes Israelson,List of female speakers of legislatures in the United States
Agnes Waters,List of female United States presidential and vice-presidential candidates
Ajamu Baraka,List of female United States presidential and vice-presidential candidates
Al Franken,List of first women mayors in the United States
Al Gore,List of female United States presidential and vice-presidential candidates
Alabama,List of female United States presidential and vice-presidential candidates
Alan Dixon,List of first women mayors in the United States
Albert Richard Thomas,Women in the United States House of Representatives
Alexandria Ocasio-Cortez,Women in the United States House of Representatives
Alexis Herman,List of female speakers of legislatures in the United States
Alf Landon,List of first women mayors in the United States
Alfred Love,List of female United States presidential and vice-presidential candidates
Alice Burke,List of female speakers of legislatures in the United States
Alice E. Burns,List of female speakers of legislatures in the United States
Alice Harrell Strickland,List of female speakers of legislatures in the United States
Alice Jempsa,List of female speakers of legislatures in the United States
Alice K. Leopold,List of female lieutenant governors in the United States
Alice Mary Robertson,Women in the United States House of Representatives
Alicia Limtiaco,List of female lieutenant governors in the United States
Alison Lundergan Grimes,List of female lieutenant governors in the United States
Allard H. Gasque,Women in the United States House of Representatives
Allyson Schwartz,Women in the United States House of Representatives
Alma Adams,Women in the United States House of Representatives
Alma Wilson,List of first women mayors in the United States
Alyson Kennedy,List of female United States presidential and vice-presidential candidates
Amalia Marín de Muñoz,List of female lieutenant governors in the United States
Amanda Benek Smith,List of female speakers of legislatures in the United States
Amata Coleman Radewagen,Women in the United States House of Representatives
Amy Klobuchar,List of female United States presidential and vice-presidential candidates
Amy Tuck,Women in the United States House of Representatives
Anabelle Rodriguez,List of female lieutenant governors in the United States
Andre Marrou,List of female United States presidential and vice-presidential candidates
Andrea Seastrand,Women in the United States House of Representatives
Andrew Pulley,List of female United States presidential and vice-presidential candidates
Angela Davis,List of female United States presidential and vice-presidential candidates
Angela McLean,Women in the United States House of Representatives
Angela Nicole Walker,List of female United States presidential and vice-presidential candidates
Angie Craig,Women in the United States House of Representatives
Anita Dugatto,List of female speakers of legislatures in the United States
Ann Arbor,List of female speakers of legislatures in the United States
Ann Hitch Kilgore,List of female speakers of legislatures in the United States
Ann K. Covington,List of first women mayors in the United States
Ann Kirkpatrick,Women in the United States House of Representatives
Ann Marie Buerkle,Women in the United States House of Representatives
Ann McLane Kuster,Women in the United States House of Representatives
Ann McLaughlin Korologos,List of female speakers of legislatures in the United States
Ann Pomykal,List of female speakers of legislatures in the United States
Ann Richards,List of female United States presidential and vice-presidential candidates
Ann Uccello,List of female speakers of legislatures in the United States
Ann Veneman,List of female speakers of legislatures in the United States
Ann Wagner,Women in the United States House of Representatives
Anna Austin,List of female speakers of legislatures in the United States
Anna Eshoo,Women in the United States House of Representatives
Anne Armstrong,List of female United States presidential and vice-presidential candidates
Anne Jones (mayor),List of female speakers of legislatures in the United States
Anne Kaplan,List of female speakers of legislatures in the United States
Anne McEnerny-Ogle,List of female speakers of legislatures in the United States
Anne Northup,Women in the United States House of Representatives
Anne X. Alpern,List of female lieutenant governors in the United States
Annette Strauss,List of female speakers of legislatures in the United States
Antonia Hidalgo Díaz,List of female lieutenant governors in the United States
April Capone Almon,List of female speakers of legislatures in the United States
Arlene Violet,List of female lieutenant governors in the United States
Arrin Hawkins,List of female United States presidential and vice-presidential candidates
Art Olivier,List of female United States presidential and vice-presidential candidates
Ashley Hennings,List of female speakers of legislatures in the United States
Ashley Moody,List of female lieutenant governors in the United States
Asiba Tupahache,List of female United States presidential and vice-presidential candidates
