title,infobox,length,wikilinks,editorcount,pageID,aveviews,categories
A. James Hudspeth,"{'image': 'KavliPrize-7273 (42704615130).jpg', 'workplaces': '{{plainlist|\n* [[CalTech]]\n* [[UC San Francisco]]\n* [[UT Southwestern]]\n* [[Rockefeller University]]}}', 'alma_mater': '{{plainlist|\n* [[Harvard University]]\n*}}', 'awards': '[[Kavli Prize]] in Neuroscience (2018)'}",13534,"['Alan Guth', 'Alexei Starobinsky', 'American Academy of Arts and Sciences', 'Andrei Linde', 'Ann Graybiel', 'Baylor College of Medicine', 'Brenda Milner', 'CalTech', 'Calvin Quate', 'Carla J. Shatz', 'Christine Petit', 'Christoph Gerber', 'Cornelia Bargmann', 'David C. Jewitt', 'David Hubel', 'Digital object identifier', 'Don Eigler', 'Donald Lynden-Bell', 'Emmanuelle Charpentier', 'Eve Marder', 'Ewine van Dishoeck', 'Gerd Binnig', 'HHMI', 'Hair cells', 'Harvard College', 'Harvard Medical School', 'Harvard University', 'Hearing', 'Inner ear', 'International Standard Name Identifier', 'James Rothman', 'Jane Luu', 'Jennifer Doudna', 'Jerry Nelson (astronomer)', ""John O'Keefe (neuroscientist)"", 'John Pendry', 'Karolinska Institute', 'Kavli Prize', 'Kip Thorne', 'Library of Congress Control Number', 'Louis E. Brus', 'Maarten Schmidt', 'Marcus Raichle', 'Michael E. Brown', 'Michael Merzenich', 'Mildred Dresselhaus', 'Nadrian Seeman', 'National Academy of Sciences', 'Pasko Rakic', 'Peter Kellaway', 'PubMed Central', 'PubMed Identifier', 'Rainer Weiss', 'Raymond Wilson (physicist)', 'Richard Scheller', 'Robert Fettiplace', 'Rockefeller University', 'Roger Angel', 'Ronald Drever', 'Rosenstiel Award', 'Sensorineural hearing loss', 'Society for Neuroscience', 'Sound', 'Stefan Hell', 'Sten Grillner', 'Sumio Iijima', 'Thomas C. Südhof', 'Thomas Ebbesen', 'Thomas Jessell', 'Torsten Wiesel', 'UC San Francisco', 'UCSF School of Medicine', 'UT Southwestern', 'University of Texas Southwestern Medical Center', 'Virginijus Šikšnys', 'Virtual International Authority File', 'W. Alden Spencer Award', 'Winfried Denk', 'WorldCat Identities']",19,57495489,8,"['Category:California Institute of Technology faculty', 'Category:Harvard Medical School alumni', 'Category:Living people', 'Category:Members of the United States National Academy of Sciences', 'Category:Rockefeller University faculty']"
A. Thomas Kraabel,"{'image': 'A Thomas Kraabel.jpg', 'caption': 'A Thomas Kraabel Decorah Iowa 2008', 'birth_name': 'Alf Thomas Kraabel', 'birth_date': '{{birth date|1934|11|4}}', 'birth_place': '[[Portland, Oregon]], U.S.', 'death_date': '{{death date and age|2016|11|2|1934|11|4}}', 'death_place': '[[Decorah, Iowa]], U.S.', 'discipline': '[[Classics|Classical]], [[medieval studies|medieval]]', 'occupation': 'Scholar, professor, pastor', 'workplaces': '[[Duke University]]<br>[[University of Minnesota]]<br>[[University of Oxford]]<br>Luther College', 'main_interests': '[[Hellenistic period]], [[Hellenistic Judaism|Judaism]]', 'alma_mater': '[[University of Iowa]]<br>[[Luther College (Iowa)|Luther College]]<br>[[Harvard University]]'}",15534,"['Alma mater', 'American Institute of Archaeology', 'American Schools of Oriental Research', 'Anton Kraabel', 'Bibsys', 'California', 'Cambridge, Massachusetts', 'Classics', 'Decorah, Iowa', 'Dropsie University', 'Duke University', 'England', 'Erwin R. Goodenough', 'Harvard', 'Harvard Divinity School', 'Harvard University', 'Hellenistic Judaism', 'Hellenistic period', 'International Standard Name Identifier', 'Library of Congress Control Number', 'Luther College (Iowa)', 'Luther Theological Seminary', 'Mansfield College', 'Medieval studies', 'Minneapolis', 'Minnesota', 'New Testament Greek', 'North Dakota', 'Née', 'Oakland Technical High School', 'Oakland, California', 'Oregon', ""Our Saviour's Lutheran Church (Minneapolis, Minnesota)"", 'Oxford', 'Oxford University', ""Parkinson's disease"", 'Portland, Oregon', 'Princeton University', 'Royal Library of the Netherlands', 'Sardis', 'Smithsonian Institution', 'St. Paul, Minnesota', 'Système universitaire de documentation', 'Turkey', 'University of Iowa', 'University of Minnesota', 'University of Oxford', 'Virtual International Authority File', 'Wolfson College, Oxford', 'WorldCat Identities']",38,32233776,2,"['Category:1934 births', 'Category:2016 deaths', 'Category:American Lutherans', 'Category:American classical scholars', 'Category:American people of Norwegian descent', 'Category:American theologians', ""Category:Deaths from Parkinson's disease"", 'Category:Duke University faculty', 'Category:Educators from Portland, Oregon', 'Category:Harvard Divinity School alumni', 'Category:Hellenists', 'Category:Luther College (Iowa) alumni', 'Category:Luther College (Iowa) faculty', 'Category:University of Iowa alumni', 'Category:University of Minnesota faculty']"
Aaron Persky,"{'birth_name': 'Michael Aaron Persky', 'birth_date': '{{Birth year and age|1962}}', 'birth_place': '[[Berkeley, California]]', 'alma_mater': '[[Stanford University]]<br>[[University of California, Berkeley]]', 'occupation': 'Attorney', 'blank1': 'Organization'}",34679,"['2007 De Anza rape investigation', 'AFL-CIO', 'Admission to the bar in the United States', 'Alma mater', 'Associated Press', 'Bad faith', 'Bench (law)', 'Berkeley, California', 'CBC News', 'CNN', 'California elections, 2018', 'California superior courts', 'Campus sexual assault', 'Cindy Hendrickson', 'College club sports in the United States', 'College lacrosse', 'Danny Cevallos', 'District attorney', 'Fifth Amendment to the United States Constitution', 'Governor of California', 'Gray Davis', 'Hate crime', 'International Standard Serial Number', 'JURIST', 'Judiciary of California', 'KGO-TV', 'Laurie Smith', 'Law firm', 'Legacy.com', 'Library of Congress Control Number', 'Los Angeles Times', 'Lynbrook High School', ""Master's degree"", 'Mercury News', 'Michele Dauber', 'Mike Honda', 'Morrison & Foerster', 'Napa Valley Register', 'Palo Alto Daily Post', 'Palo Alto Weekly', 'People v. Turner', 'Phi Beta Kappa', 'Post-traumatic stress disorder', 'Presentence investigation report', 'Pro bono', 'Recall election', 'San Francisco, California', 'San Jose Mercury News', 'Santa Clara County, California', 'Sentencing (law)', 'Sex crime', 'Stanford Law School', 'Stanford University', 'State Bar of California', 'Superior Court of California', 'Ted Poe', 'The Independent', 'U.S. Republican Party', 'UC Berkeley School of Law', 'United States House of Representatives', 'University of California, Berkeley', 'Virtual International Authority File', 'WorldCat Identities', 'Zoe Lofgren']",137,50746006,1446,"['Category:1962 births', 'Category:American people of Jewish descent', 'Category:American prosecutors', 'Category:California lawyers', 'Category:California state court judges', 'Category:Living people', 'Category:People from San Francisco', 'Category:People from Santa Clara County, California', 'Category:Stanford University alumni', 'Category:University of California, Berkeley School of Law alumni']"
Abbie Farwell Brown,{'fetchwikidata': 'ALL'},6800,"['Abbie Brown', 'Abbie Brown (rugby union)', 'American Folklore Society', 'Beacon Hill, Boston', 'Boston', ""Boston Authors' Club"", 'Boston Drama League', 'Bowdoin School', 'Chester Cathedral', 'Choir stalls', 'Edward MacDowell', 'Find a Grave', 'Girl Scouts of the USA', ""Girls' Latin School"", 'Goose', 'Hall and Locke', 'Handel and Haydn Society', 'Harvard University', 'Integrated Authority File', 'International Standard Book Number', 'International Standard Name Identifier', 'Internet Archive', 'Isaac Allerton', 'Jabberwocky', 'James MacIntosh Bell', 'Josephine Preston Peabody', 'Lewis Carroll', 'Library of Congress', 'Library of Congress Control Number', 'LibriVox', 'Mabel Wheeler Daniels', 'MusicBrainz', 'National Library of Israel', 'National Library of Poland', 'New England', 'New England Poetry Club', 'Norse mythology', 'Poetry Society of America', 'Project Gutenberg', 'Radcliffe College', 'SNAC', 'Schlesinger Library', 'Silver Burdett', 'St. Louis Globe-Democrat', 'St. Nicholas Magazine', 'Système universitaire de documentation', ""The Youth's Companion"", 'Valedictorian', 'Virtual International Authority File', 'Werburgh', 'Wikisource', 'WorldCat Identities', 'Writer', 'Young Folks Library']",28,38688802,7,"['Category:1871 births', 'Category:1927 deaths', ""Category:American children's writers"", 'Category:American women poets', ""Category:Children's poets"", 'Category:People from Beacon Hill, Boston', 'Category:Poets from Massachusetts', 'Category:Radcliffe College alumni', 'Category:Writers from Boston']"
Abby Dernburg,"{'name': 'Abby Dernburg', 'fields': '[[Cell Biology]], [[Genetics]]', 'workplaces': '[[University of California, Berkeley]]<br>[[Lawrence Berkeley National Laboratory]]<br>[[Howard Hughes Medical Institute]]', 'alma_mater': '[[University of California, Berkeley]], BA<br>[[University of California, San Francisco]], PhD', 'academic_advisors': '[[Clayton Heathcock]]<br>[[Dan Koshland]]<br>[[John Sedat]]<br>[[Anne Villeneuve (scientist)|Anne Villeneuve]]', 'notable_students': '[[Peter Carlton]]<br>Yumi Kim<br>Ofer Rog<br>', 'influences': '[[Hermann Joseph Muller|Hermann Muller]]<br>[[Barbara McClintock]]<br>[[Robin Holliday]]', 'influenced': '[[Needhi Bhalla]]', 'website': '[https://mcb.berkeley.edu/labs/dernburg/ Research website]', 'spouse': '[[Gary Karpen]]'}",15812,"['American Society for Cell Biology', 'Anne Villeneuve (scientist)', 'Apoptosis', 'Barbara McClintock', 'Bibcode', 'Caenorhabditis elegans', 'Cell Biology', 'Cell cycle checkpoint', 'Chemotaxis', 'Chromosome', 'Chromosome segregation', 'Clayton Heathcock', 'Cytology', 'Dan Koshland', 'Daughter cells', 'Digital object identifier', 'Double-strand breaks', 'Drosophila', 'Dynein', 'Early Career Life Scientist Award', 'Eukaryote', 'Fluorescence in situ hybridization', 'Gary Karpen', 'Genetic recombination', 'Genetics', 'Genetics Society of America', 'Hermann Joseph Muller', 'Heterochromatin', 'Homologous chromosome', 'Howard Hughes Medical Institute', 'Interference (genetic)', 'International Standard Serial Number', 'John Sedat', 'Larry Sandler Memorial Award', 'Lawrence Berkeley National Laboratory', 'Liquid crystal', 'Live cell imaging', 'Meiosis', 'Meiotic recombination', 'Metaphase I', 'Microscopy', 'Microtubules', 'Model organism', 'National Institutes of Health', 'Needhi Bhalla', 'Organic chemistry', 'Peter Carlton', 'Planarians', 'Presidential Early Career Award for Scientists and Engineers', 'Pristionchus pacificus', 'PubMed Central', 'PubMed Identifier', 'Reaction-diffusion', 'Robin Holliday', 'Stanford University', 'Synapsis', 'Synaptonemal complex', 'Transcription (biology)', 'University of California, Berkeley', 'University of California, San Francisco', 'Zinc-finger protein']",16,59537619,5,"['Category:American geneticists', 'Category:Cell biologists', 'Category:Howard Hughes Medical Investigators', 'Category:Lawrence Berkeley National Laboratory people', 'Category:Living people', 'Category:Stanford University postdoctoral scholars', 'Category:University of California, Berkeley alumni', 'Category:University of California, Berkeley faculty', 'Category:University of California, San Francisco alumni', 'Category:Women in science and technology']"
Abigail Goodrich Whittelsey,{'fetchwikidata': 'ALL'},6502,"['Berlin, Connecticut', 'Canandaigua (city), New York', 'Charles A. Goodrich', 'Colchester, Connecticut', 'Darius Mead', 'Editor', 'Hartford, Connecticut', 'International Standard Book Number', 'Internet Archive', 'Library of Congress Control Number', 'New Preston, Connecticut', 'New York City', 'Ontario Female Seminary', 'Project Gutenberg', 'Public domain', 'Ridgefield, Connecticut', 'Samuel Griswold Goodrich', 'Utica, New York', 'Virtual International Authority File', 'WorldCat Identities']",16,21833298,1,"['Category:1788 births', 'Category:1858 deaths', 'Category:19th-century American women writers', 'Category:American magazine editors', 'Category:American magazine founders', 'Category:American women educators', 'Category:Educators from Connecticut', 'Category:People from Ridgefield, Connecticut', 'Category:Women magazine editors']"
Abraham D. Shadd,,7396,"['African-American', 'American Anti-Slavery Society', 'Black Canadians', 'Canada Post', 'Colored Conventions Movement', 'Eunice P. Shadd', 'French and Indian War', 'Hesse-Cassel', 'Hessian soldier', 'International Standard Book Number', 'Mary Ann Shadd', 'OCLC', 'Ontario', 'United States']",13,58887715,4,"['Category:1801 births', 'Category:1882 deaths', 'Category:American abolitionists', 'Category:American emigrants to pre-Confederation Ontario', 'Category:American people of German descent', 'Category:Black Canadian politicians', 'Category:Canadian abolitionists', 'Category:Canadian people of African-American descent', 'Category:Canadian people of German descent', 'Category:People from Wilmington, Delaware']"
Abraham Rattner,"{'bgcolour': '#6495ED', 'name': 'Abraham Rattner', 'image': 'Photo of Abraham Rattner 1948.jpg', 'birth_date': '{{birth date|1895|7|8|mf|=|y}}', 'birth_place': '[[Poughkeepsie (city), New York|Poughkeepsie, New York]]', 'death_date': '{{death date and age|1978|2|14|1893|7|8|mf|=|y}}', 'death_place': 'New York, New York', 'nationality': 'American', 'field': '[[Painting]]', 'movement': '[[Expressionism]]', 'spouse': '{{marriage|[[Bettina Bedwell]]|1924|1947}} <br> {{marriage|[[Esther Gentle]]|1949|1978}}'}",6479,"['Albright-Knox Art Gallery', 'Archives of American Art', 'Art Institute of Chicago', 'Augustus Saint-Gaudens', 'Baltimore Museum of Art', 'Battle of Belleau Wood', 'Bettina Bedwell', 'Buffalo, New York', 'Camouflage', 'Château-Thierry', 'Claude Monet', 'Color', 'Corcoran School of Art', 'Detroit Institute of Arts', 'Esther Gentle', 'Expressionism', 'Gainesville, Florida', 'George Washington University', 'Georges Rouault', 'Hartford, Connecticut', 'Henry Miller', 'Hindenberg Line', 'Integrated Authority File', 'International Standard Book Number', 'International Standard Name Identifier', 'Leepa-Rattner Museum of Art', 'Library of Congress Control Number', 'Montgomery Museum of Fine Arts', 'Montgomery, Alabama', 'Netherlands Institute for Art History', 'New Haven, Connecticut', 'New York City', 'Pablo Picasso', 'Painting', 'Pennsylvania Academy of the Fine Arts', 'Philadelphia Museum of Art', 'Phillips Collection', 'Poughkeepsie (city), New York', 'Roy R. Behrens', 'Royal Library of the Netherlands', 'SNAC', 'Samuel P. Harn Museum of Art', 'Second Battle of the Marne', 'St. Petersburg College', 'Surrealist', 'Système universitaire de documentation', 'Tampa Bay Times', 'Tarpon Springs, Florida', 'The New School', 'Union List of Artist Names', 'Virtual International Authority File', 'Wadsworth Atheneum', 'Washington, D.C.', 'Whitney Museum of American Art', 'WorldCat Identities', 'Yale University']",72,5493441,10,"['Category:1893 births', 'Category:1978 deaths', 'Category:American people of Romanian-Jewish descent', 'Category:American people of Russian-Jewish descent', 'Category:Art Students League of New York faculty', 'Category:Burials at Green River Cemetery', 'Category:Corcoran College of Art and Design alumni']"
Adam Strohm,"{'name': 'Adam Strohm', 'image': 'Adam Strohm, 1917 (cropped).jpg', 'caption': 'Strohm in 1917', 'office': '[[List of presidents of the American Library Association|President of the American Library Association]]', 'term_start': '1930', 'term_end': '1931', 'predecessor': '[[Andrew Keogh (librarian)|Adam Keogh]]', 'successor': '[[Josephine Adams Rathbone]]', 'birth_name': 'Adam Julius Strohm', 'birth_date': '{{birth date|1870|02|16}}', 'birth_place': '[[Vänersborg]], [[Västergötland]], [[Sweden]]', 'death_date': '{{death date and age|1951|10|30|1870|02|16}}', 'death_place': '[[Fletcher, North Carolina|Fletcher]], [[North Carolina]], [[United States|USA]]', 'death_cause': '[[myocardial infarction|Heart attack]]', 'education': '{{unbulleted list|[[Uppsala University]]|[[University of Illinois]]}}', 'occupation': '[[Librarian]]', 'nationality': '[[Sweden|Swedish]]'}",2973,"['Alice S. Tyler', 'Allie Beth Martin', 'Althea Warren', 'American Library Association', 'Andrew Keogh (librarian)', 'Ann K. Symons', 'Arthur Curley', 'Arthur Elmore Bostwick', 'Asheville, North Carolina', 'Azariah Smith Root', 'Barbara J. Ford', 'Barbara Stripling', 'Benjamin E. Powell', 'Betty J. Turock', 'Beverly P. Lynch', 'Brooke E. Sheldon', 'Camila A. Alire', 'Carl B. Roden', 'Carl Vitz', 'Carla Hayden', 'Carol A. Brey-Casiano', 'Carol A. Nemeyer', 'Chalmers Hadley', 'Charles Ammi Cutter', 'Charles F. D. Belden', 'Charles H. Compton', 'Charles Harvey Brown', 'Charles Henry Gould', 'Clara Stanton Jones', 'Clarence R. Graham', 'Clement Walker Andrews', 'Courtney Young (librarian)', 'Detroit Public Library', 'E. J. Josey', 'Edward G. Holley', 'Edwin Castagna', 'Edwin H. Anderson', 'Elizabeth W. Stone', 'Emerson Greenaway', 'Eric Moon', 'Ernest Cushing Richardson', 'Errett Weir McDiarmid', 'Essae Martha Culver', 'F. William Summers', 'Fletcher, North Carolina', 'Flora Belle Ludington', 'Florrinell F. Morton', 'Foster E. Mohrhardt', 'Frances Lander Spain', 'Frank Pierce Hill', 'Frederick H. Wagman', 'Frederick M. Crunden', 'George Burwell Utley', 'George Locke', 'Gratia Countryman', 'Hardy R. Franklin', 'Harrison Warwick Craver', 'Harry M. Lydenberg', 'Henry Eduard Legler', 'Henry James Carr', 'Henry Munson Utley', 'Herbert Putnam', 'Herman H. B. Meyer', 'Hiller Crowell Wellman', 'International Standard Name Identifier', 'James E. Bryan', 'James G. Neal', 'James Ingersoll Wyer', 'James Kendall Hosmer', 'James R. Rettig', 'Jean E. Lowrie', 'John Cotton Dana', 'John S. Richards', 'John Shaw Billings', 'John W. Berry (librarian)', 'Josephine Adams Rathbone', 'Josephus Nelson Larned', 'Judson Toll Jennings', 'Julie Todaro', 'Justin Winsor', 'Katherine Laich', 'Keith Doms', 'Keyes Metcalf', 'Klas August Linderfelt', 'Lawrence Quincy Mumford', 'Leslie Burger', 'Librarian', 'Library and information science', 'Lillian M. Bradshaw', 'Linda Eastman', 'List of presidents of the American Library Association', 'Loida Garcia-Febo', 'Loleta Fyan', 'Loriene Roy', 'Louis Round Wilson', 'Lucile M. Morsch', 'Malcolm Glenn Wyer', 'Margaret E. Chisholm', 'Marilyn L. Miller', 'Mary R. Somerville', 'Mary U. Rothrock', 'Mary Virginia Gaver', 'Mary Wright Plummer', 'Maureen Sullivan (librarian)', 'Maurice J. Freedman', 'Melvil Dewey', 'Michael Gorman (librarian)', 'Milton E. Lord', 'Milton J. Ferguson', 'Molly Raphael', 'Myocardial infarction', 'Nancy C. Kranich', 'Nathaniel Dana Carlile Hodges', 'North Carolina', 'Patricia G. Schuman', 'Patricia Wilson Berger', 'Paul North Rice', 'Peggy Sullivan', 'Ralph Munn', 'Ralph R. Shaw', 'Ralph Ulveling', 'Regina Minudri', 'Reuben Gold Thwaites', 'Richard M. Dougherty', 'Robert B. Downs', 'Robert G. Vosper', 'Roberta A. Stevens', 'Roger McDonough', 'Royal Library of the Netherlands', 'Russell Shank', 'Samuel Swett Green', 'Sarah Ann Long', 'Sari Feldman', 'Sweden', 'Theresa Elmendorf', 'Thomas J. Galvin', 'Thomas Lynch Montgomery', 'United States', 'University of Illinois', 'Uppsala University', 'Virtual International Authority File', 'Vänersborg', 'Västergötland', 'Walter Lewis Brown', 'Wanda Kay Brown', 'William Coolidge Lane', 'William Frederick Poole', 'William Howard Brett', 'William I. Fletcher', 'William S. Dix', 'William Warner Bishop', 'WorldCat Identities']",7,49656162,1,"['Category:1870 births', 'Category:1951 deaths', 'Category:Library and information science biography stubs', 'Category:People from Vänersborg Municipality', 'Category:Presidents of the American Library Association', 'Category:Swedish emigrants to the United States', 'Category:Uppsala University alumni']"
Addie Pearl Nicholson,,2832,"['Agatha Bennett', 'Agricultural Adjustment Act', 'Amelia Bennett', 'Andrea Williams', 'Annie Bell Pettway', 'Annie Bendolph', 'Annie E. Pettway', 'Annie Mae Young', 'Aolar Mosely', 'Arcola Pettway', 'Arlonzia Pettway', 'Bettie Bendolph Seltzer', 'Candis Pettway', 'Coy, Alabama', 'Dallas County, Alabama', 'Deborah Pettway Young', 'Delia Bennett', 'Edwina Pettway', 'Ella Mae Irby', 'Elyzabeth Gregory Wilder', 'Emma Lee Pettway Campbell', 'Estelle Witherspoon', 'Farm Security Administration', 'Flora Moore', 'Florine Smith', 'Freedom Quilting Bee', 'Geraldine Westbrook', 'Gloria Hoppins', 'Harriet Powers', 'Henrietta Pettway', 'History of quilting', 'International Standard Book Number', 'Irene Latham', 'Irene Williams', 'Jessie T. Pettway', 'Linda Diane Bennett', 'Lola Pettway', 'Loretta Pettway', 'Loretta Pettway Bennett', 'Lottie Mooney', 'Louella Pettway', 'Louisiana Bendolph', 'Lucy Mingo', 'Lucy Mooney', 'Lucy T. Pettway', 'Lutisha Pettway', 'Magalene Wilson', 'Martha Jane Pettway', 'Mary Elizabeth Kennedy', 'Mary L. Bennett', 'Mary Lee Bendolph', 'Mensie Lee Pettway', 'Mertlene Perkins', 'Minder Coleman', 'Minnie Sue Coleman', 'Nell Hall Williams', 'Nellie Mae Abrams', 'Nettie Jane Kennedy', 'Nettie Young', 'Patricia McKissack', 'Patty Ann Williams', 'Polly Bennett', ""Quilts of Gee's Bend"", 'Quilts of the Underground Railroad', 'Qunnie Pettway', 'Rachel Carey George', 'Resettlement Administration', 'Sally Mae Pettway', 'Selma, Alabama', 'Souls Grown Deep Foundation', ""Stitchin' and Pullin'"", 'Sue Willie Seltzer', ""The Quilts of Gee's Bend"", 'Torrey Quilt Collection', 'Willie Abrams']",6,60565723,1,"['Category:1931 births', 'Category:African-American artists', 'Category:American artist stubs', 'Category:Living people', 'Category:Quilters']"
