Name,title,,,,,,,,namespace,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link
A. James Hudspeth  ,A.,James,Hudspeth,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/A._James_Hudspeth,1,395,395,FALSE,FALSE,69,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=A._James_Hudspeth
A. Thomas Kraabel  ,A.,Thomas,Kraabel,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/A._Thomas_Kraabel,1,4,4,FALSE,FALSE,258,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=A._Thomas_Kraabel
Aaron Persky   ,Aaron,Persky,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Aaron_Persky,1,391,391,FALSE,FALSE,52130,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Aaron_Persky
Abbie Farwell Brown  ,Abbie,Farwell,Brown,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Abbie_Farwell_Brown,2,46,45,FALSE,FALSE,207,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Abbie_Farwell_Brown
Abby Dernburg   ,Abby,Dernburg,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Abby_Dernburg,10,14258,14258,TRUE,FALSE,1220,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Abby_Dernburg
Abigail Goodrich Whittelsey  ,Abigail,Goodrich,Whittelsey,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Abigail_Goodrich_Whittelsey,1,0,-313,FALSE,FALSE,179,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Abigail_Goodrich_Whittelsey
Abraham D. Shadd  ,Abraham,D.,Shadd,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Abraham_D._Shadd,1,21,21,FALSE,FALSE,463,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Abraham_D._Shadd
Abraham Rattner   ,Abraham,Rattner,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Abraham_Rattner,1,0,-91,FALSE,FALSE,1185,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Abraham_Rattner
Adam Strohm   ,Adam,Strohm,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Adam_Strohm,1,0,-371,FALSE,FALSE,388,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Adam_Strohm
Addie Pearl Nicholson  ,Addie,Pearl,Nicholson,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Addie_Pearl_Nicholson,6,1207,1193,TRUE,FALSE,109,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Addie_Pearl_Nicholson
Adele Buffington   ,Adele,Buffington,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Adele_Buffington,2,44,33,FALSE,FALSE,348,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Adele_Buffington
Adele Comandini   ,Adele,Comandini,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Adele_Comandini,1,44,44,FALSE,FALSE,245,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Adele_Comandini
Adolph Luetgert   ,Adolph,Luetgert,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Adolph_Luetgert,1,23,23,FALSE,FALSE,8778,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Adolph_Luetgert
Adrian John Ebell  ,Adrian,John,Ebell,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Adrian_John_Ebell,1,47,47,FALSE,FALSE,152,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Adrian_John_Ebell
Agatha Bennett   ,Agatha,Bennett,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Agatha_Bennett,1,1629,1629,TRUE,FALSE,95,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Agatha_Bennett
Agnes Arber   ,Agnes,Arber,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Agnes_Arber,1,436,436,FALSE,FALSE,4220,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Agnes_Arber
Agnes Ballard   ,Agnes,Ballard,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Agnes_Ballard,7,19395,19314,TRUE,FALSE,4375,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Agnes_Ballard
Agnes Blackadder Hall  ,Agnes,Blackadder,Hall,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Agnes_Blackadder_Hall,1,4,4,FALSE,FALSE,2122,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Agnes_Blackadder_Hall
Agnes Ullmann   ,Agnes,Ullmann,,,,,,L,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Agnes_Ullmann,27,5832,5805,TRUE,FALSE,3866,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Agnes_Ullmann
Alastair G. W. Cameron ,Alastair,G.,W.,Cameron,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alastair_G._W._Cameron,15,10402,10343,FALSE,FALSE,2043,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alastair_G._W._Cameron
Albert Chao   ,Albert,Chao,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Albert_Chao,4,1021,1021,FALSE,FALSE,2186,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Albert_Chao
Albert Parsons   ,Albert,Parsons,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Albert_Parsons,1,4,4,FALSE,FALSE,10570,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Albert_Parsons
Alberto Mantovani   ,Alberto,Mantovani,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alberto_Mantovani,1,42,42,FALSE,FALSE,1942,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alberto_Mantovani
Alessandro Strumia   ,Alessandro,Strumia,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alessandro_Strumia,1,80,80,FALSE,FALSE,27843,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alessandro_Strumia
Alexander Nicolaus Scherer  ,Alexander,Nicolaus,Scherer,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alexander_Nicolaus_Scherer,1,13,13,FALSE,FALSE,22,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alexander_Nicolaus_Scherer
Alexandra Boltasseva   ,Alexandra,Boltasseva,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Alexandra_Boltasseva,1,0,-66,FALSE,FALSE,526,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Alexandra_Boltasseva
