A Ge   ,,0,en.wikipedia.org,1,205,205,FALSE,FALSE,1976
A.Z.M. Enayetullah Khan  ,,0,en.wikipedia.org,1,48,48,FALSE,FALSE,143
A'Lelia Walker   ,,0,en.wikipedia.org,4,143,116,FALSE,FALSE,80102
Abanindranath Tagore   ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,8032
Abastenia St. Leger Eberle ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,872
Abbie Adams   ,,0,en.wikipedia.org,6,5025,3343,FALSE,FALSE,72
Abdul Majid Mandal  ,,0,en.wikipedia.org,1,1840,1840,TRUE,FALSE,27
Abdullah al Kafi  ,,0,en.wikipedia.org,1,30,30,TRUE,FALSE,0
Abibata Shanni Mahama Zakariah ,,0,en.wikipedia.org,3,490,490,TRUE,FALSE,69
Abigail Child   ,,0,en.wikipedia.org,1,2217,2217,FALSE,FALSE,232
Abigail DeVille   ,,0,en.wikipedia.org,2,244,244,FALSE,FALSE,2022
Abigail Fallis   ,,0,en.wikipedia.org,2,202,135,FALSE,FALSE,50
Abigail Satinsky   ,,0,en.wikipedia.org,2,4909,4909,FALSE,FALSE,34
Abike Dabiri   ,,0,en.wikipedia.org,1,27,27,FALSE,FALSE,14688
Ada Gladys Killins  ,,0,en.wikipedia.org,1,1544,1544,FALSE,FALSE,19
Adaobi Tricia Nwaubani  ,,0,en.wikipedia.org,1,1081,1081,FALSE,FALSE,7568
Adaora Lily Ulasi  ,,0,en.wikipedia.org,2,306,283,FALSE,FALSE,1153
Adebisi Akanji   ,,0,en.wikipedia.org,1,231,231,FALSE,FALSE,228
Adeela Suleman   ,,0,en.wikipedia.org,2,7463,7463,TRUE,FALSE,92
Adele M. Fielde  ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,87
Adele Wiseman   ,,0,en.wikipedia.org,3,1998,1998,FALSE,FALSE,2070
Adelle Lutz   ,,0,en.wikipedia.org,1,93,93,FALSE,FALSE,14068
Adelyn Dohme Breeskin  ,,0,en.wikipedia.org,1,964,964,FALSE,FALSE,69
Adetoun Ogunsheye   ,,0,en.wikipedia.org,1,3,3,FALSE,FALSE,123
Adolfo Venturi   ,,0,en.wikipedia.org,1,0,-10,FALSE,FALSE,58
Adrian Piper   ,,0,en.wikipedia.org,2,3,3,FALSE,FALSE,97141
Adrienne Gorska   ,,0,en.wikipedia.org,1,13,13,FALSE,FALSE,40
Afia Pokua   ,,0,en.wikipedia.org,4,1044,1044,TRUE,FALSE,2761
Aganetha Dyck   ,,0,en.wikipedia.org,1,325,325,FALSE,FALSE,1378
Agathe Aladin   ,,0,en.wikipedia.org,4,8575,8572,TRUE,FALSE,90
Agbani Darego   ,,0,en.wikipedia.org,5,850,845,FALSE,FALSE,58824
Agnes Alfred   ,,0,en.wikipedia.org,1,1464,1464,FALSE,FALSE,59
Agnes and Margaret Smith ,,0,en.wikipedia.org,2,8,8,FALSE,FALSE,618
Agnes Arber   ,,0,en.wikipedia.org,1,50,50,FALSE,FALSE,8087
Agnes Denes   ,,0,en.wikipedia.org,2,333,333,FALSE,FALSE,13053
Agnes Lefort   ,,0,en.wikipedia.org,1,1560,1560,FALSE,FALSE,27
Agnes Martin   ,,0,en.wikipedia.org,2,185,185,FALSE,FALSE,73728
Agnes Varda   ,,0,en.wikipedia.org,1,184,184,FALSE,FALSE,17355
Ailsa Mellon Bruce  ,,0,en.wikipedia.org,1,648,648,FALSE,FALSE,790
Aino Aalto   ,,0,en.wikipedia.org,3,850,828,FALSE,FALSE,1541
Aisha Cousins   ,,0,en.wikipedia.org,1,1706,1706,FALSE,FALSE,166
Aisha Sabatini Sloan  ,,0,en.wikipedia.org,1,127,127,FALSE,FALSE,976
Aishah Shahidah Simmons  ,,0,en.wikipedia.org,1,3870,3870,TRUE,FALSE,89
Ajamu X   ,,0,en.wikipedia.org,2,0,-26,FALSE,FALSE,2557
Ajuan Mance   ,,0,en.wikipedia.org,1,0,-102,FALSE,FALSE,772
Akiko Higashimura   ,,0,en.wikipedia.org,1,411,411,FALSE,FALSE,1393
Akimi Yoshida   ,,0,en.wikipedia.org,3,1048,1048,FALSE,FALSE,849
Al Capp   ,,0,en.wikipedia.org,2,111,94,FALSE,FALSE,5938
Alan Marshall   ,,0,en.wikipedia.org,2,73,73,FALSE,FALSE,87
Alana Bartol   ,,0,en.wikipedia.org,3,2812,2812,TRUE,FALSE,115
Alessandra Comini   ,,0,en.wikipedia.org,1,28,28,FALSE,FALSE,157
Alex Fierro   ,,0,en.wikipedia.org,2,140,140,FALSE,FALSE,2779
Alex Katz   ,,0,en.wikipedia.org,1,63,63,FALSE,FALSE,30835
Alex Mawimbi   ,,0,en.wikipedia.org,2,0,-14,FALSE,FALSE,581
Alexandra Bell   ,,0,en.wikipedia.org,20,10343,10331,TRUE,FALSE,369
Alexandra Drewchin   ,,0,en.wikipedia.org,1,150,150,FALSE,FALSE,119
Alexandra Elbakyan   ,,0,en.wikipedia.org,3,1822,1816,FALSE,FALSE,26194
Alexandra Kollontai   ,,0,en.wikipedia.org,3,19,-64,FALSE,FALSE,134196
Alexandra Oliver   ,,0,en.wikipedia.org,2,1467,0,FALSE,FALSE,271
Alexi Worth   ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,231
Alfred Lee Loomis  ,,0,en.wikipedia.org,1,0,-442,FALSE,FALSE,12946
Alfred von Wurzbach  ,,0,en.wikipedia.org,1,0,-12,FALSE,FALSE,25
Alia Farid   ,,0,en.wikipedia.org,4,10268,10268,TRUE,FALSE,610
Alice Attie   ,,0,en.wikipedia.org,1,1,1,FALSE,FALSE,707
Alice Aycock   ,,0,en.wikipedia.org,2,335,335,FALSE,FALSE,5397
Alice Bailly   ,,0,en.wikipedia.org,5,867,808,FALSE,FALSE,3818
Alice Beckington   ,,0,en.wikipedia.org,6,1625,1625,FALSE,FALSE,60
Alice Burr   ,,0,en.wikipedia.org,4,855,850,FALSE,FALSE,90
Alice Carmen Gouvy  ,,0,en.wikipedia.org,4,419,419,FALSE,FALSE,101
Alice Garver   ,,0,en.wikipedia.org,9,4503,4503,TRUE,FALSE,26
Alice Hanratty   ,,0,en.wikipedia.org,1,781,781,FALSE,FALSE,32
Alice Lok Cahana  ,,0,en.wikipedia.org,3,216,109,FALSE,FALSE,499
Alice Neel   ,,0,en.wikipedia.org,1,41,41,FALSE,FALSE,47597
Alice Parker (Salem witch trials),,0,en.wikipedia.org,1,855,855,FALSE,FALSE,1262
Alice Rawsthorn   ,,0,en.wikipedia.org,2,50,50,FALSE,FALSE,327
Alice Sheppard   ,,0,en.wikipedia.org,1,977,977,FALSE,FALSE,2603
Alice Twemlow   ,,0,en.wikipedia.org,3,1802,1801,FALSE,FALSE,67
Alice Walker   ,,0,en.wikipedia.org,1,1167,1167,FALSE,FALSE,161796
Alicia Austin   ,,0,en.wikipedia.org,4,1886,1034,FALSE,FALSE,269
Alicia Killaly   ,,0,en.wikipedia.org,4,1117,261,FALSE,FALSE,38
Alicia Leal   ,,0,en.wikipedia.org,6,26,22,FALSE,FALSE,1171
Alina Szapocznikow   ,,0,en.wikipedia.org,2,1625,1625,FALSE,FALSE,690
Aline Barnsdall   ,,0,en.wikipedia.org,1,317,317,FALSE,FALSE,489
Alisha Wormsley   ,,0,en.wikipedia.org,8,7401,7180,TRUE,FALSE,191
Alison Marks   ,,0,en.wikipedia.org,2,3093,3093,FALSE,FALSE,376
Alison Mason Kingsbury  ,,0,en.wikipedia.org,1,0,-19,FALSE,FALSE,771
Alison Saar   ,,0,en.wikipedia.org,9,1674,1674,FALSE,FALSE,2274
Alix Madigan   ,,0,en.wikipedia.org,2,2480,2480,TRUE,FALSE,104
Alix Pearlstein   ,,0,en.wikipedia.org,4,951,951,FALSE,FALSE,25
Allan Hawco   ,,0,en.wikipedia.org,1,4,4,FALSE,FALSE,7241
Allan V. Cox  ,,0,en.wikipedia.org,1,29,29,FALSE,FALSE,286
Allison Hrabluik   ,,0,en.wikipedia.org,7,3139,2990,TRUE,FALSE,120
Allison Smith (artist)  ,,0,en.wikipedia.org,1,0,-21,FALSE,FALSE,54
Allyson Clay   ,,0,en.wikipedia.org,4,686,686,FALSE,FALSE,59
Alma Adams   ,,0,en.wikipedia.org,1,532,532,FALSE,FALSE,3585
Alma Thomas   ,,0,en.wikipedia.org,1,4281,4281,FALSE,FALSE,28637
Altina Schinasi   ,,0,en.wikipedia.org,1,0,-1139,FALSE,FALSE,181
Alvin D. Loving  ,,0,en.wikipedia.org,1,0,-317,FALSE,FALSE,312
Alysia Nicole Harris  ,,0,en.wikipedia.org,4,8543,8543,TRUE,FALSE,195
Ama Ata Aidoo  ,,0,en.wikipedia.org,2,1088,1088,FALSE,FALSE,32946
Amaka Igwe   ,,0,en.wikipedia.org,1,1405,1405,FALSE,FALSE,494
Amaka Osakwe   ,,0,en.wikipedia.org,6,464,239,FALSE,FALSE,262
Amalia Amaki   ,,0,en.wikipedia.org,2,2726,2726,FALSE,FALSE,141
Amanda Browder   ,,0,en.wikipedia.org,1,503,503,FALSE,FALSE,51
Amanda Burk   ,,0,en.wikipedia.org,1,1422,1422,FALSE,FALSE,55
Amanda Knox   ,,0,en.wikipedia.org,3,1023,1010,FALSE,FALSE,151776
Amanda Lovelace   ,,0,en.wikipedia.org,1,388,388,TRUE,FALSE,809
Amanda Strong   ,,0,en.wikipedia.org,1,260,260,FALSE,FALSE,3490
Amaza Lee Meredith  ,,0,en.wikipedia.org,1,359,359,FALSE,FALSE,544
Ambar Past   ,,0,en.wikipedia.org,1,3155,3155,FALSE,FALSE,295
Amber Cowan   ,,0,en.wikipedia.org,2,189,189,FALSE,FALSE,676
Amber Dawn   ,,0,en.wikipedia.org,3,381,381,FALSE,FALSE,655
Ambreen Butt   ,,0,en.wikipedia.org,3,12,11,FALSE,FALSE,2236
Ambrose Burnside   ,,0,en.wikipedia.org,1,878,878,FALSE,FALSE,71102
Ambulinga Ghat   ,,0,en.wikipedia.org,1,15,15,FALSE,FALSE,150
Amelia Etlinger   ,,0,en.wikipedia.org,5,1046,1045,TRUE,FALSE,44
Amelia Long   ,,0,en.wikipedia.org,4,1061,1055,FALSE,FALSE,78
Amelia Tilghman   ,,0,en.wikipedia.org,2,4522,4522,TRUE,FALSE,244
Ameyo Adadevoh   ,,0,en.wikipedia.org,3,1033,1033,FALSE,FALSE,51304
Amina J. Mohammed  ,,0,en.wikipedia.org,2,527,527,FALSE,FALSE,19312
Amrita Sher-Gil   ,,0,en.wikipedia.org,1,0,-4,FALSE,FALSE,132641
Amy Carmichael   ,,0,en.wikipedia.org,4,365,365,FALSE,FALSE,6758
Amy Clampitt   ,,0,en.wikipedia.org,3,264,239,FALSE,FALSE,171
Amy Feldman   ,,0,en.wikipedia.org,1,63,63,FALSE,FALSE,1262
Amy Porter (flutist)  ,,0,en.wikipedia.org,1,0,-2,FALSE,FALSE,35
Amy Sadao   ,,0,en.wikipedia.org,3,3498,3010,FALSE,FALSE,0
Amy Sedaris   ,,0,en.wikipedia.org,1,156,156,FALSE,FALSE,50547
Amy Sherald   ,,0,en.wikipedia.org,1,523,523,FALSE,FALSE,51657
Amy Sillman   ,,0,en.wikipedia.org,2,519,519,FALSE,FALSE,560
An Antane-Kapesh   ,,0,en.wikipedia.org,3,346,346,FALSE,FALSE,1060
An-My Le   ,,0,en.wikipedia.org,9,12445,12433,FALSE,FALSE,3082
Ana Mendieta   ,,0,en.wikipedia.org,1,159,159,FALSE,FALSE,92954
Ana Uribe   ,,0,en.wikipedia.org,12,897,864,TRUE,FALSE,319
Anandi Gopal Joshi  ,,0,en.wikipedia.org,2,330,330,FALSE,FALSE,694411
Ananias of Damascus  ,,0,en.wikipedia.org,1,0,0,FALSE,FALSE,40044
Anastasia (artist)   ,,0,en.wikipedia.org,1,493,493,FALSE,FALSE,240
Andrea Barrett   ,,0,en.wikipedia.org,1,96,96,FALSE,FALSE,440
Andrea Beck   ,,0,en.wikipedia.org,2,143,143,FALSE,FALSE,117
Andrea Bolley   ,,0,en.wikipedia.org,15,3054,3052,TRUE,FALSE,60
Andrea Zittel   ,,0,en.wikipedia.org,1,327,327,FALSE,FALSE,764
Angel Otero   ,,0,en.wikipedia.org,1,237,237,FALSE,FALSE,268
Angela Carter   ,,0,en.wikipedia.org,1,944,944,FALSE,FALSE,10825
Angela Schanelec   ,,0,en.wikipedia.org,4,74,70,FALSE,FALSE,281
Angela Su   ,,0,en.wikipedia.org,1,390,390,FALSE,FALSE,102
Angelica Kauffman   ,,0,en.wikipedia.org,1,92,92,FALSE,FALSE,4209
Angelique Kidjo   ,,0,en.wikipedia.org,1,0,-6,FALSE,FALSE,18937
Angotigolu Teevee   ,,0,en.wikipedia.org,1,30,30,FALSE,FALSE,19
Anita Martinez   ,,0,en.wikipedia.org,2,196,196,FALSE,FALSE,52
Anita Mui   ,,0,en.wikipedia.org,1,348,348,FALSE,FALSE,15564
Anita Takura   ,,0,en.wikipedia.org,1,80,80,FALSE,FALSE,21
Ann Cotton   ,,0,en.wikipedia.org,1,478,478,FALSE,FALSE,236
Ann Fessler   ,,0,en.wikipedia.org,1,171,171,FALSE,FALSE,0
Ann Gardner   ,,0,en.wikipedia.org,7,2634,2623,FALSE,FALSE,178
Ann Hirsch   ,,0,en.wikipedia.org,1,607,607,FALSE,FALSE,202
Ann Kipling   ,,0,en.wikipedia.org,2,728,728,FALSE,FALSE,64
Ann Messner   ,,0,en.wikipedia.org,11,3432,3248,FALSE,FALSE,61
Ann Newmarch   ,,0,en.wikipedia.org,1,852,852,FALSE,FALSE,43
Ann Philbin   ,,0,en.wikipedia.org,2,851,851,FALSE,FALSE,179
Ann Stewart Anderson  ,,0,en.wikipedia.org,1,478,478,FALSE,FALSE,53
Ann Temkin   ,,0,en.wikipedia.org,5,686,652,FALSE,FALSE,2651
Ann Weaver Hart  ,,0,en.wikipedia.org,1,360,360,FALSE,FALSE,206
Ann Williams   ,,0,en.wikipedia.org,1,85,85,FALSE,FALSE,141
Anna Akana   ,,0,en.wikipedia.org,1,207,207,FALSE,FALSE,102478
Anna Anthropy   ,,0,en.wikipedia.org,1,962,962,FALSE,FALSE,1995
Anna Bond (illustrator)  ,,0,en.wikipedia.org,2,1,0,FALSE,FALSE,681
Anna Botsford Comstock  ,,0,en.wikipedia.org,2,1800,1800,FALSE,FALSE,564
Anna C. Chave  ,,0,en.wikipedia.org,1,92,92,FALSE,FALSE,197
Anna Carolina Laudon  ,,0,en.wikipedia.org,2,2969,2969,TRUE,FALSE,289
Anna Claypoole Peale  ,,0,en.wikipedia.org,5,3444,3444,FALSE,FALSE,1746
Anna Frants   ,,0,en.wikipedia.org,1,200,200,FALSE,FALSE,85
Anna J. Cooper  ,,0,en.wikipedia.org,4,89,80,FALSE,FALSE,50173
Anna Maria Maiolino  ,,0,en.wikipedia.org,1,597,597,FALSE,FALSE,3702
Anna Maria van Schurman ,,0,en.wikipedia.org,1,11,11,FALSE,FALSE,789
Anna Schwartz   ,,0,en.wikipedia.org,3,419,157,FALSE,FALSE,3885
Anna Sew Hoy  ,,0,en.wikipedia.org,1,5007,5007,TRUE,FALSE,530
